ts,dpid,port,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate_bps,tx_rate_bps,rx_rate_mbps,tx_rate_mbps,loss_pct,err_pct
1762808035.0846756,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808035.0846756,1,1,8,264,788,24016,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808035.0846756,1,2,153,112,13798,10222,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808035.0846756,1,3,110,151,10102,13622,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808035.0846756,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808035.0846756,2,1,10,260,984,23624,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808035.0846756,2,2,112,153,10222,13798,1,0,0,0,0.0,0.0,0.0,0.0,0.37735849056603776,0.0
1762808035.0846756,2,3,150,113,13516,10358,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808035.0846756,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808035.0846756,3,1,151,110,13622,10102,1,0,0,0,0.0,0.0,0.0,0.0,0.3831417624521073,0.0
1762808035.0846756,3,2,113,150,10358,13516,1,0,0,0,0.0,0.0,0.0,0.0,0.38022813688212925,0.0
1762808036.084676,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808036.084676,1,1,8,264,788,24016,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808036.084676,1,2,153,112,13798,10222,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808036.084676,1,3,110,151,10102,13622,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808036.084676,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808036.084676,2,1,10,260,984,23624,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808036.084676,2,2,112,153,10222,13798,1,0,0,0,0.0,0.0,0.0,0.0,0.37735849056603776,0.0
1762808036.084676,2,3,150,113,13516,10358,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808036.084676,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808036.084676,3,1,151,110,13622,10102,1,0,0,0,0.0,0.0,0.0,0.0,0.3831417624521073,0.0
1762808036.084676,3,2,113,150,10358,13516,1,0,0,0,0.0,0.0,0.0,0.0,0.38022813688212925,0.0
1762808037.0839891,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808037.0839891,1,1,62,3307,5448,285830,0,0,0,0,37305.62463392504,2095951.6755164058,0.03730562463392504,2.095951675516406,0.0,0.0
1762808037.0839891,1,2,1744,1641,150564,141860,0,0,0,0,1094880.0555114576,1053827.857416443,1.0948800555114575,1.053827857416443,0.0,0.0
1762808037.0839891,1,3,1582,1774,136800,153082,0,0,0,0,1014280.6931049431,1116446.8694092676,1.014280693104943,1.1164468694092675,0.0,0.0
1762808037.0839891,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808037.0839891,2,1,52,3320,4612,286872,0,0,0,0,29043.949822291856,2107431.5608651284,0.029043949822291856,2.1074315608651286,0.0,0.0
1762808037.0839891,2,2,1641,1744,141860,150564,1,0,0,0,1053827.857416443,1094880.0555114576,1.053827857416443,1.0948800555114575,0.029542097488921712,0.0
1762808037.0839891,2,3,1750,1631,151012,141004,0,0,0,0,1100724.0696708492,1045886.4025587492,1.1007240696708493,1.045886402558749,0.0,0.0
1762808037.0839891,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808037.0839891,3,1,1774,1595,153082,137926,1,0,0,0,1116446.8694092676,1023294.8848083336,1.1164468694092675,1.0232948848083336,0.029682398337785694,0.0
1762808037.0839891,3,2,1631,1750,141004,151012,1,0,0,0,1045886.4025587492,1100724.0696708492,1.045886402558749,1.1007240696708493,0.029577048210588583,0.0
1762808038.0846632,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808038.0846632,1,1,62,3307,5448,285830,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808038.0846632,1,2,1744,1641,150564,141860,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808038.0846632,1,3,1582,1774,136800,153082,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808038.0846632,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808038.0846632,2,1,52,3320,4612,286872,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808038.0846632,2,2,1641,1744,141860,150564,1,0,0,0,0.0,0.0,0.0,0.0,0.029542097488921712,0.0
1762808038.0846632,2,3,1750,1631,151012,141004,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808038.0846632,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808038.0846632,3,1,1774,1595,153082,137926,1,0,0,0,0.0,0.0,0.0,0.0,0.029682398337785694,0.0
1762808038.0846632,3,2,1631,1750,141004,151012,1,0,0,0,0.0,0.0,0.0,0.0,0.029577048210588583,0.0
1762808039.0845983,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808039.0845983,2,1,86,7788,7560,670868,0,0,0,0,23585.52951813434,3072167.2295948146,0.02358552951813434,3.0721672295948146,0.0,0.0
1762808039.0845983,2,2,3891,4021,335204,346222,1,0,0,0,1546852.3131459178,1565365.5137242635,1.5468523131459178,1.5653655137242635,0.012639029322548028,0.0
1762808039.0845983,2,3,3982,3901,342808,336032,0,0,0,0,1534467.5099932475,1560325.1868598047,1.5344675099932474,1.5603251868598047,0.0,0.0
1762808039.0845983,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808039.0845983,3,1,4042,3851,347982,331774,1,0,0,0,1559301.1204492478,1550884.574637485,1.5593011204492477,1.550884574637485,0.012669453946534905,0.0
1762808039.0845983,3,2,3901,3982,336032,342808,1,0,0,0,1560325.1868598047,1534467.5099932475,1.5603251868598047,1.5344675099932474,0.012685525815045033,0.0
1762808039.0845983,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808039.0845983,1,1,96,7776,8396,669912,0,0,0,0,23585.52951813434,3072855.2742144074,0.02358552951813434,3.0728552742144073,0.0,0.0
1762808039.0845983,1,2,4021,3891,346222,335204,0,0,0,0,1565365.5137242635,1546852.3131459178,1.5653655137242635,1.5468523131459178,0.0,0.0
1762808039.0845983,1,3,3851,4042,331774,347982,0,0,0,0,1559893.158842851,1559301.1204492478,1.5598931588428508,1.5593011204492477,0.0,0.0
1762808040.0846705,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808040.0846705,2,1,86,7788,7560,670868,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762808040.0846705,2,2,3891,4021,335204,346222,1,0,0,0,0.0,0.0,0.0,0.0,0.012639029322548028,0.0
