ts,dpid,port,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate_bps,tx_rate_bps,rx_rate_mbps,tx_rate_mbps,loss_pct,err_pct
1762806649.9478695,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806649.9478695,3,1,107,127,9806,11580,1,0,0,0,0.0,0.0,0.0,0.0,0.42735042735042733,0.0
1762806649.9478695,3,2,132,101,11988,9280,1,0,0,0,0.0,0.0,0.0,0.0,0.4291845493562232,0.0
1762806649.9478695,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806649.9478695,2,1,10,232,984,21212,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806649.9478695,2,2,131,110,11876,10068,1,0,0,0,0.0,0.0,0.0,0.0,0.4149377593360996,0.0
1762806649.9478695,2,3,101,132,9280,11988,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806649.9478695,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806649.9478695,1,1,8,235,788,21486,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806649.9478695,1,2,110,131,10068,11876,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806649.9478695,1,3,127,107,11580,9806,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806650.9487915,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806650.9487915,3,1,107,127,9806,11580,1,0,0,0,0.0,0.0,0.0,0.0,0.42735042735042733,0.0
1762806650.9487915,3,2,132,101,11988,9280,1,0,0,0,0.0,0.0,0.0,0.0,0.4291845493562232,0.0
1762806650.9487915,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806650.9487915,2,1,10,232,984,21212,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806650.9487915,2,2,131,110,11876,10068,1,0,0,0,0.0,0.0,0.0,0.0,0.4149377593360996,0.0
1762806650.9487915,2,3,101,132,9280,11988,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806650.9487915,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806650.9487915,1,1,8,235,788,21486,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806650.9487915,1,2,110,131,10068,11876,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806650.9487915,1,3,127,107,11580,9806,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806651.9488504,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806651.9488504,1,1,58,3906,5104,338752,0,0,0,0,34525.96678690997,2537978.539994388,0.03452596678690997,2.5379785399943877,0.0,0.0
1762806651.9488504,1,2,1938,2033,167980,176252,0,0,0,0,1263221.609651188,1314930.5645424265,1.263221609651188,1.3149305645424265,0.0,0.0
1762806651.9488504,1,3,2015,1952,174770,169158,0,0,0,0,1305443.1232520477,1274740.9312853748,1.3054431232520476,1.2747409312853748,0.0,0.0
