ts,dpid,port,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate_bps,tx_rate_bps,rx_rate_mbps,tx_rate_mbps,loss_pct,err_pct
1762807852.695912,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807852.695912,1,1,8,249,788,22766,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807852.695912,1,2,121,130,10750,12090,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807852.695912,1,3,128,121,11990,10726,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807852.695912,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807852.695912,2,1,10,248,984,22616,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807852.695912,2,2,130,121,12090,10750,1,0,0,0,0.0,0.0,0.0,0.0,0.398406374501992,0.0
1762807852.695912,2,3,120,130,10620,12164,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807852.695912,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807852.695912,3,1,121,128,10726,11990,1,0,0,0,0.0,0.0,0.0,0.0,0.40160642570281124,0.0
1762807852.695912,3,2,130,120,12164,10620,1,0,0,0,0.0,0.0,0.0,0.0,0.4,0.0
1762807853.6961846,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807853.6961846,1,1,8,249,788,22766,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807853.6961846,1,2,121,130,10750,12090,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807853.6961846,1,3,128,121,11990,10726,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807853.6961846,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807853.6961846,2,1,10,248,984,22616,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807853.6961846,2,2,130,121,12090,10750,1,0,0,0,0.0,0.0,0.0,0.0,0.398406374501992,0.0
1762807853.6961846,2,3,120,130,10620,12164,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807853.6961846,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807853.6961846,3,1,121,128,10726,11990,1,0,0,0,0.0,0.0,0.0,0.0,0.40160642570281124,0.0
1762807853.6961846,3,2,130,120,12164,10620,1,0,0,0,0.0,0.0,0.0,0.0,0.4,0.0
1762807854.696147,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807854.696147,1,1,71,4137,6222,357554,0,0,0,0,43473.637657821164,2678404.8958753464,0.04347363765782116,2.6784048958753464,0.0,0.0
1762807854.696147,1,2,2085,2137,179338,185372,0,0,0,0,1348754.8077763626,1386308.2224185807,1.3487548077763627,1.3863082224185808,0.0,0.0
1762807854.696147,1,3,2081,2122,180654,182438,0,0,0,0,1349362.8306806677,1373747.749263855,1.3493628306806678,1.373747749263855,0.0,0.0
1762807854.696147,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807854.696147,3,1,2122,2081,182438,180654,1,0,0,0,1373747.749263855,1349362.8306806677,1.373747749263855,1.3493628306806678,0.023792529145848205,0.0
1762807854.696147,3,2,2133,2071,185088,178082,1,0,0,0,1383444.1145272483,1339746.4684309987,1.3834441145272482,1.3397464684309988,0.023786869647954328,0.0
1762807854.696147,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807854.696147,2,1,67,4118,5926,355840,0,0,0,0,39537.489382582295,2665892.4245288554,0.039537489382582294,2.6658924245288556,0.0,0.0
1762807854.696147,2,2,2137,2085,185372,179338,1,0,0,0,1386308.2224185807,1348754.8077763626,1.3863082224185808,1.3487548077763627,0.023685457129322594,0.0
1762807854.696147,2,3,2071,2133,178082,185088,0,0,0,0,1339746.4684309987,1383444.1145272483,1.3397464684309988,1.3834441145272482,0.0,0.0
1762807855.6961513,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807855.6961513,1,1,71,4137,6222,357554,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807855.6961513,1,2,2085,2137,179338,185372,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807855.6961513,1,3,2081,2122,180654,182438,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807855.6961513,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762807855.6961513,3,1,2122,2081,182438,180654,1,0,0,0,0.0,0.0,0.0,0.0,0.023792529145848205,0.0
1762807855.6961513,3,2,2133,2071,185088,178082,1,0,0,0,0.0,0.0,0.0,0.0,0.023786869647954328,0.0
1762807855.6961513,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
