ts,dpid,port,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate_bps,tx_rate_bps,rx_rate_mbps,tx_rate_mbps,loss_pct,err_pct
1762806467.4849415,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806467.4849415,1,1,8,225,788,20802,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806467.4849415,1,2,104,129,9608,11812,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806467.4849415,1,3,128,97,11806,8954,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806467.4849415,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806467.4849415,3,1,97,128,8954,11806,1,0,0,0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0
1762806467.4849415,3,2,131,98,12038,9070,1,0,0,0,0.0,0.0,0.0,0.0,0.4366812227074236,0.0
1762806467.4849415,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806467.4849415,2,1,10,227,984,20938,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806467.4849415,2,2,129,104,11812,9608,1,0,0,0,0.0,0.0,0.0,0.0,0.4291845493562232,0.0
1762806467.4849415,2,3,98,131,9070,12038,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806468.4855752,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806468.4855752,1,1,8,225,788,20802,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806468.4855752,1,2,104,129,9608,11812,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806468.4855752,1,3,128,97,11806,8954,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806468.4855752,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806468.4855752,3,1,97,128,8954,11806,1,0,0,0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0
1762806468.4855752,3,2,131,98,12038,9070,1,0,0,0,0.0,0.0,0.0,0.0,0.4366812227074236,0.0
1762806468.4855752,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762806468.4855752,2,1,10,227,984,20938,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
